,aid,sub,本科学校档次,本科专业,本科4.0绩点,本科4.3绩点,本科5.0绩点,本科均分,本科原始成绩,其他说明,研究生专业,研究生4.0绩点,研究生4.3绩点,研究生5.0绩点,研究生均分,研究生原始成绩,研究生学校档次,IELTS_Overall,IELTS_R,IELTS_L,IELTS_S,IELTS_W,TOEFL_Overall,TOEFL_R,TOEFL_L,TOEFL_S,TOEFL_W,GRE_Overall,GRE_V,GRE_Q,GRE_AW,GMAT_Overall,GMAT_Q,GMAT_V,LSAT
25767,2321752,,Top10 985,经济统计,3.85,3.68,3.85,88.5,gpa 3.85/4.0,额 么 么 么 我 不 知道 怎么 在 之前 我 发过 的 帖子 下加 新 的 这个 是不是 开 了 一个 新贴 啊,,,,,,,,,,,,,102,28,26,23,25,323,155,168,3,,,,
25768,2321768,,211,林学,4.0,3.91,4.12,91.16,"91.16/100,4/104",,,,,,,,,,,,,,102,30,27,22,23,322,152,170,3.5,,,,
25769,2321763,,211 & 985,机械,,,,,"4.68/5.0, 3%",,,,,,,,,,,,,,,,,,,,,,,,,,
25770,2321771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25771,2321777,,211 & 985,,3.9,3.72,3.9,89.0,3.9,设计 背景 带 作品集 一段 互联网 相关 实习 三年 奖学金 一个 相关 国内 竞赛 奖项,,,,,,,,7.5,8.5,7.5,6.5,6.5,,,,,,,,,,,,,
25772,2321776,,211,地理信息科学,3.33,3.23,3.33,83.3,3.33/4,无 论文 三次 实习 两个 小 项目 一个 英语 竞赛 水奖 一个 志愿,,,,,,,,7,8.5,6.5,5.5,6.5,,,,,,,,,,,,,
25773,2321781,,四川师范大学,geography,3.2,3.12,3.2,82.0,3.2/4.0,篇 一区 一篇 中文 核心,ecology,3.2,3.12,3.2,82.0,3.2/4.0,中国科学院大学,,,,,,91,26,22,22,21,312,153,159,3,,,,
25774,2321816,,波士顿大学,BBA,3.57,3.43,3.57,85.7,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,
25775,2321774,,211 & 985,经济,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25776,2321782,,211 & 985,中文系,3.7,3.55,3.7,87,87/100,,,,,,,,,,,,,,,,,,,,,,,,,,
25777,2321799,,211 & 985,管理学,3.84,3.67,3.84,88.4,3.84/4.0,个 校奖 专业 第一 无 雅思 申请 一段 台湾 交换 一段 国家 公派 科研 大创 两个 教师 科研项目 一个,,,,,,,,,,,,,,,,,,,,,,,,,
25778,2321833,,境外学校,偏量化类商科,,,,,Top 10,工作 党 各种 海外 活动,,,,,,,,,,,,,106,30,28,24,24,,,,,,,,
25779,2321789,,211,行政管理,3.64,3.5,3.64,86.4,3.64 (WES 3.79),段个 挑战杯 一段 国企 实习,,,,,,,,,,,,,105,30,26,25,24,324,156,168,3.5,,,,
25780,2321824,,双非,汉语言文学,3.61,3.47,3.61,86.1,86.1/100,,,,,,,,,,,,,,,,,,,,,,,,,,
25781,2321846,,中国传媒大学,国际新闻,3.78,3.62,3.78,87.8,3.78/4,无 论文 无 奖学金 一个 英语 竞赛 的 奖 三年 校内 博物馆 志愿 服务 经历 一次 暑校 经历 中国 青年网 三联 生活 周刊 世纪 英文报 实习,,,,,,,,7.5,8.5,8.0,6.5,6.5,,,,,,,,,,,,,
25782,2321855,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,翻译,3.78,3.62,3.78,87.8,3.78,两段 教育 机构 实习 华为 翻译 岗 实习 线上 教育 实习 多 段 翻译 志愿者,,,,,,,,,,,,,,,,,,,,,,,,,
25783,2321853,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,经济学,,,,,wes 3.62 overall 4.32/5.0,交换   外国 老师 推荐信 + 国内   实习   行研 + 地方 政府部门 和 地方 企业   经历 就是   音乐 类 表演 参加 多,,,,,,,,,,,,,107,30,28,23,26,328,158,170,3,,,,
25784,2321859,,.,建筑学,3.47,3.35,3.47,84.7,3.47,,,,,,,,,,,,,,92,25,23,22,22,,,,,,,,
25785,2321875,,双非,应用心理学,3.95,3.76,3.95,89.5,89.5/100,  双非 一本   四段 相关 实习   有 交换 出国 经历   还有 三四个 科研   一个 国家级 课题组 不过 跟着 老师 打杂 ～ 还有 大大小小 的 奖项 证书 啥 的,,,,,,,,6.5,7,7.5,6,6,,,,,,,,,,,,,
25786,2321886,,双非,法学（国际经济法方向）,3.9,3.72,3.9,89.0,GPA 3.9，S,,,,,,,,,,,,,,100,28,28,20,24,,,,,,,,
25787,2321884,,双非,核工程与核技术,3.63,3.49,3.63,86.3,3.635/5,篇 及其 水 论文 个 学科 相关 竞赛 一段 互联网 企业 实习 经历 社会活动 相对 丰富 学校 奖学金 若干,,,,,,,,6.5,7.5,6,6.5,6,,,,,,,,,,,,,
25788,2321867,,211,环境工程,3.57,3.43,3.57,85.7,3.57、3/110,  作 导师 作 另 有 两篇   作 导师 作 还有 各种 其他 奖项 吧 建模 竞赛 数学 竞赛 奖学金 之类 的,环境工程,4.0,3.81,4.0,90,4.01、9/90,211 & 985,,,,,,100,29,28,22,21,320,152,168,3,,,,
25789,2321888,,,,,,,,,本科 学校 不好 绩点 还 行级 刚 过线 可能 值钱 的 就是 次 实习 和 台湾 交换 吧 另外 拿到 了 台湾 教授 的 推荐信,园林,3.43,3.31,3.43,84.3,3.43/5,双非2本网排400＋,6,7,6,6,5.5,,,,,,,,,,,,,
25790,2321937,,985/211,法学,,,,,,,LLM,,,,,,美国,,,,,,,,,,,,,,,,,,169.0
25791,2321913,,TU9,车辆工程,3.0,2.94,3.0,80,均分: 1.3/1.0  排名: 1/80,没有 论文   感觉 是 纯靠 成绩 申请 的 因为 想 研究生 想 做 跟 机器人 相关 的 这个 学期 的 做 的 是 关于 机械 臂 运动 相关 的 此外 其中 一份 推荐信 来自 我们 力学 这门 课 的 教授 他 原来 是   机械系 的 教授 虽然 专业 是 车辆 工程 但是 本科 阶段 跟 机械 的 课程 几乎 没有 什么 区别,,,,,,,,,,,,,105,29,27,23,26,,,,,,,,
25792,2321936,,211 & 985,ME,3.4,3.29,3.4,84.0,3.4/4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
25793,2321950,,211,计算机科学,3.05,2.99,3.05,80.5,80.5/100,本人 铁 大学 四年 没拿过 奖学金 没 参加 过 专业 相关 比赛 大四 加入 学院 实验室 有 部分 项目 研究 经历 两篇 推荐信   +   水 实习,,,,,,,,,,,,,100,26,28,23,23,,,,,,,,
25794,2321959,,211财经,国贸,3.4,3.29,3.4,84.0,3.4/5.0,几个 学业 奖学金,,,,,,,,7,7.5,8,6,6,,,,,,326,156,170,3.5,,,,
25795,2321956,,211 & 985,经济统计学,3.77,3.61,3.77,87.7,3.77/4.00,有 一段 宾 大学 期 交换 但 无 海外 推荐信 两个 数模 一等奖 非常 的 研究型 实习 有用 到 等 大创 一个 某 农村 产业 经济 调研 校 辩论 队 毕业 年份 我 是 届 的 但是 不 知道 为什么 只能 选,,,,,,,,,,,,,107,30,28,24,25,326,158,168,3.5,,,,
25796,2321948,,211,,,,,,,,,,,,,,Imperial College London,,,,,,,,,,,,,,,,,,
25797,2321965,,清华/北大/中科大,ECON,3.82,3.65,3.82,88.2,3.82(截止提交时),,,,,,,,,,,,,,,,,,,,,,,,,,
25798,2321964,,双非二本,工程造价,3.89,3.71,3.89,88.9,88.9,雅思 大概 算了 一下   校 奖学金 三年 都 有 一个 校级 的 水 项目 两段 专业 实习 一段 中建 一段 普通 造价 咨询 公司,,,,,,,,6.5,7,6.5,6,6,,,,,,,,,,,,,
25799,2321967,,南京大学,History,,,,,4.36,,Economics,,,,,,UW-Madison,,,,,,,,,,,324,155,169,3,,,,
25800,2321982,,985,电气工程及其自动化,3.87,3.69,3.87,88.7,"3.87/4.0, 11/328",了 一年 所以 用 全部 成绩 申请 的 成绩 并 不 突出 科研 经历 忽略不计 自己 玩 的 小 项目 和 某些 课程设计 有 两个 数模 竞赛 的 成绩 希望 给 大 神学 弟 学妹 一些 申请 的 动力,,,,,,,,7,8.5,7.0,7.5,5.5,,,,,,322,152,170,3.0,,,,
25801,2321973,,211 & 985,经济学,4.0,3.81,4.0,90,90+,,,,,,,,,,,,,,,,,,,,,,,,,,
25802,2321993,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,金融,3.99,3.8,3.99,89.9,89.9,,,,,,,,,7.5,9,8,6,6,,,,,,324,154,170,4,,,,
25803,2321989,,清华/北大/中科大,中国语言文学,3.5,3.37,3.5,85.0,3.5+,学术 经历 很少 只有 学年 论文 推荐信 是 三个 本校 老师 还有 实习 老板 给 写 的 还是 学术 欠缺 太多 了 吧 正在 等 其余 学校 的 回信 不过 大 概率 去 了 学费 便宜,,,,,,,,,,,,,108,29,29,25,25,326,161,165,3.5,,,,
25804,2321984,,211,金融学,4.0,3.83,4.02,90.23,90.23/100,学校 网排 - 左右 算 财经类 院校 ？ 不太 确定 财经类   金融 本 均分     雅思   科研 国家级 立项 一个   奖学金 有 三个 有国奖 一等 奖学金 等   荣誉称号 三好学生 等   实习 三段 证券 银行 基金   大学生 英语 竞赛 特等奖 文艺 赛事 奖项 若干 等   其他 经历 有 学校 内 部门 副 部长 和 志愿者 活动 推荐信 找 的 学院 里 的 两个 教授,,,,,,,,7.5,9,8.5,6,6,,,,,,,,,,710,51,34,
25805,2322017,,211 & 985,软件工程,3.56,3.43,3.56,85.6,85.6/100,未来 从事 和 商科 的 交叉 职位 所以 这样 申请 可能 因为 太 差 一个 四大 实习 一个 大 数据 实习 一个 量化 投资 夏令营 还有 一些 杂七杂八 的 活动,,,,,,,,,,,,,102,29,27,24,22,321,153,168,3.5,,,,
25806,2321998,,211 & 985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25807,2322026,,211,计算机科学与技术,3.5,3.37,3.5,85,85，前8%,,,,,,,,,,,,,,,,,,,,,,,,,,
25808,2322032,,南方科技大学,化学,3.49,3.37,3.49,84.9,3.49/4.0,本科毕业 之后 去 多大读 了 一年 研究型 硕士 主要 是 没想 清楚 之后 要 读博 还是 工作,化学工程,,,,,,多伦多大学,,,,,,105,28,27,24,26,,,,,,,,
25809,2322044,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,计算机科学,3.6,3.46,3.6,86,86,,,,,,,,,,,,,,107,30,27,24,26,334,165,169,3,,,,
25810,2322058,,211 & 985,英语师范,3.63,3.49,3.63,86.3,3.63/4.00,无 辅修 心理学 两段 水 科研 国创 + 自己 做 的 小 项目 美国 某 州立大学 交换 半年 段暑校 若干 教学 实习 优秀 毕业论文,,,,,,,,,,,,,103,27,25,22,29,,,,,,,,
25811,2322051,,中山大学,金融学,3.9,3.72,3.9,89.0,3.9/4,审计工作 两年     全科 奖学金 等 西班牙 交换 一 学期,,,,,,,,7.5,7.5,8.5,6.5,6.5,,,,,,,,,,,,,
25812,2322037,,211 & 985,MSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25813,2322034,,华中师范大学,社会学,3.52,3.39,3.52,85.17,85.17 9/37,申了 所 美国 高校 所 英国 目前 还有 所 没出 结果 给 了 年 奖学金 有 科研 经历 无 发表,,,,,,,,,,,,,102,29,28,23,22,325,156,169,3,,,,
25814,2322061,,,Engineering with Business Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,720,51,36,
25815,2322067,,双非,法本,3.68,3.53,3.68,86.8,3.68/4（评级AA）,补个 欧洲 交换 一 学期 + 段 内 所 实习 + 乱七八糟 的 奖学金,,,,,,,,,,,,,,,,,,,,,,,,,
25816,2322083,,211 & 985,测控,,,,,前15%,水 论文 数模 国 一小 奖 互联网 工作 经验,,3.12,3.05,3.12,81.2,81.2,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,6.5,7,7,6,6,,,,,,,,,,,,,
25817,2322070,,,,,,,,,,,,,,,,,5.5,5,6,5,5,76,17,18,18,23,,,,,,,,
25818,2322080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25819,2322088,,双非,信用管理（金融学类）,2.54,2.55,2.54,75.4,2.54/4,,,,,,,,,,,,,,87,26,23,18,20,319,149,170,3,,,,
25820,2322097,,清华/北大/中科大,哲学+文物与博物馆学辅修,3.45,3.31,3.43,84.3,"3.45/4, 84.3",英国 约克 大学 交换 半年 一篇 中国 文化遗产 两篇 博物馆 人类学 会议 发表 正经 科研 经历 段 本科生 科研项目 本校 美术史 大牛 学术 夏令营 本校 景观 大牛 古代 人文景观 暑期 科研 曼彻斯特大学 考古系 副教授 不太 正经 的 科研 经历 段 参加 两个 考古系 的 研究生 工作坊 做 相关 报纸 发短 文章 科研 助理 经历 有 一个 校内 学术 中心 实习 段 有 博物馆 国家 文物部门 城市 规划院 博物馆 游学 机构 和 当代艺术 中心 文物部门 是 研究 岗 的 实习 学过 两年 日语 推荐信 构成 是 考古 + 艺术史 都 来自 本校 大佬,,,,,,,,,,,,,108,28,29,23,28,317,157,160,4,,,,
25821,2322110,,双非,经济学,3.76,3.6,3.76,87.6,3.76/4 WES,,,,,,,,,,,,,,108,27,28,27,26,327,157,170,3.5,,,,
25822,2322096,,211 & 985,历史系,3.6,3.46,3.6,86,86,,,,,,,,,7,7,8,6.5,6,,,,,,,,,,,,,
25823,2322115,,211 & 985,数学与应用数学,3.36,3.25,3.36,83.6,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,
25824,2322120,,211 & 985,预防医学,3.68,3.53,3.68,86.76,86.76,四段 科研 没有   三段 实习   奖学金 若干   英国 冬季 交流   国家级 奖项 一个   文艺 特长 若干,,,,,,,,,,,,,,,,,,,,,,,,,
25825,2322125,,211 & 985,Mechanical Engineering (Automotive),4.0,3.89,4.1,91,91+,一段 科研 无 论文 国奖 和 四次 学校 企业 奖学金 项 比赛 奖项 还有 一个 实习 的 申请 主体 是 转 但 为了 保底 还是 申请 了 几个 其余 的 申请 在 另一帖,,,,,,,,,,,,,106,29,29,23,25,329,161,168,3.5,,,,
25826,2322130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25827,2322141,,,,,,,,,国内 竞赛 奖项 若干,建筑学,,,,,,211,,,,,,95,28,21,23,23,300,143,157,3.5,,,,
25828,2322148,,复旦大学,经济学,3.46,3.34,3.46,84.6,3.46/4.0,,,,,,,,,7,7,8.5,5.5,6,89,24,20,23,22,319,149,170,3.5,,,,
25829,2322142,,,,,,,,,我 是 工作 党转 专业 申请 个人 经验 仅供参考 哈,,,,,,,,,,,,,,,,,,,,,,,,,
25830,2322147,,211 & 985,MSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25831,2322160,,双非,人力资源管理,3.75,3.57,3.73,87.31,3.75/5，87.31/100,没有 论文 得 过 国家 奖学金 次 工作 年 和 经济 数字 分析 稍微 沾点 边,,,,,,,,7.5,7,9,7,6,,,,,,325,155,170,3.5,,,,
25832,2322164,,211 & 985,数学与应用数学,3.3,3.2,3.3,83,83,,,,,,,,,7,8,7.5,5.5,6,,,,,,,,,,,,,
25833,2322150,,复旦大学,经济学,3.46,3.34,3.46,84.6,3.46/4.0,,,,,,,,,7,7,8.5,5.5,6,89,24,20,23,22,319,149,170,3.5,,,,
25834,2322169,,211 & 985,自动化,3.53,3.4,3.53,85.3,3.53,,,,,,,,,,,,,,101,29,27,24,21,,,,,,,,
25835,2322162,,双非一本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25836,2322172,,211,计算机科学与技术,3.6,3.46,3.6,86,3.6/4.0 86/100 top15%,,,,,,,,,,,,,,100,27,27,20,26,321,151,170,3.0,,,,
25837,2322181,,武大 + 里昂一大,物理,3.92,-2.4,-3.21,17.9,武大3.92/4.0 + Lyon 1 17.9/20,,,,,,,,,,,,,,106,30,26,23,27,324,155,169,4.0,,,,
25838,2322176,,,,3.57,3.43,3.57,85.7,85.7/100,,,,,,,,,7.57.5,7,9,6.5,6.5,,,,,,,,,,,,,
25839,2322178,,北京师范大学,心理学,4.0,3.84,4.04,90.41,90.41/100,辅修 计算机 人机交互 暑研 研发 实习 校内 认知 神经科学 科研,,,,,,,,,,,,,110,29,28,26,27,331,161,170,3.5,,,,
25840,2322175,,985&211,法学,3.9,3.72,3.9,89,89+/100,应届 小本 除 科研 什么 经历 都 有 一些 还有 几所 学校 在   先 报 一个 攒,,,,,,,,,,,,,,,,,,,,,,,,,
25841,2322185,,,预防医学,,,,,,,营养与食品卫生学,3.8,3.63,3.8,88,88/100,,,,,,,,,,,,,,,,,,,
25842,2322190,,211,计算机科学技术,3.25,3.16,3.25,82.5,3.25/4,个人经历 是 一段 实习 篇水 论文 一个 大创 几个 竞赛 小 奖 奖学金,,,,,,,,6.5,7.0,6.5,6.0,6.0,,,,,,,,,,,,,
25843,2322203,,双非,法学,,,,,3/4,,,,,,,,,,,,,,89,30,21,19,19,,,,,,,,
25844,2322215,,211,金融数学,,,,,,一篇 论文 一作 省级 大创 社团 社长 还有 一些 水奖 普通 实习,,,,,,,,6.5,7,7.5,5.5,6,,,,,,,,,,,,,
25845,2322212,,中美2+2,管理学,3.9,3.72,3.9,89.0,3.9,,,,,,,,,,,,,,,,,,,326,157,169,3.5,,,,
25846,2322214,,211,金融数学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25847,2322216,,City University of Hong Kong,Translation and Interpretation,,,,,,,Linguistics,,,,,,University College London,,,,,,,,,,,329,159,170,4.5,,,,
25848,2322220,Chemistry（化学）                    880(95%),上海科技大学,化学,3.69,3.54,3.69,86.9,"3.69/4.0, 2/18",一篇 挂 名次 校内 奖学金,,,,,,,,,,,,,101,28,23,25,25,327,157,170,3.5,,,,
25849,2322219,,滑铁卢大学,精算和统计,3.2,3.12,3.2,82.0,3.2/4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
25850,2322232,,武汉大学,水利水电工程,3.69,3.63,3.8,88,3.69 88+ 3%,+ 学科 项 专利 牛津 暑校 国家级 专业 相关 竞赛 一个 特奖 一个 一奖 年 的 挑战杯 只 拿 了 省奖 有 两段 科研 都 是 校内 的 包括 个 国家级 大创 优秀 结题 校里 三年 甲等 奖学金 + 一些 专项 奖学金 湖北省 水利 优秀学生 英语 竞赛 国 一 学生会 副 主席 七七八八 的 一封 海外 大牛 推 无 实习 无 论文,,,,,,,,7.5,8.5,8.5,6.5,6.5,,,,,,322,152,170,3.5,,,,
25851,2322210,,211 & 985,computer science,3.59,3.45,3.59,85.9,85.9,一篇 顶会 一作 一篇 期刊 四作 优秀 毕业论文 一次 国家 奖学金 校 优秀 毕业生 两次 实习 几个 小 奖,computer science,3.58,3.44,3.58,85.8,85.8,211 & 985,,,,,,93,27,21,19,26,320,151,169,3.5,,,,
25852,2322226,,美本top50,Business Administration,,,,,,国内 工作 两年 半 经验,,,,,,,,,,,,,,,,,,,,,,680,48,35,
25853,2322228,,211 & 985,法学,,,,,4.88/5；,一个 外所 实习 两段 中院 实习 一段 新 媒体 实习 国际 志愿者 三年 校 奖学金 一个 项目 两个 奖,,,,,,,,8,8.5,8.5,7,7,,,,,,,,,,,,,
25854,2322234,,211 & 985,法学,3.77,3.61,3.77,87.7,87.7/100， 1st,,,,,,,,,,,,,,103,27,28,22,26,,,,,,,,
25855,2322243,,211,法学,3.1,3.03,3.1,81.0,3.1/4.0（AA）,英语 辅修 辅修 绩点 更 高 但 可能 因为 有 缓考 被 当成 挂科 了 才 ？ 我 迷惑 了 检察院 + 中型 所 两个 水 实习 推荐信 导师 + 教授 一个 校内 水奖法 考过 客观 题,,,,,,,,,,,,,,,,,,,,,,,,,
25856,2322271,,,,3.57,3.43,3.57,85.7,85.7/100,,,,,,,,,7.5,7,9,6.5,6.5,,,,,,,,,,,,,
25857,2322279,,中国政法大学,法学,,,,,4.11/6.5,,,,,,,,,,,,,,105,27,25,25,28,,,,,,,,
25858,2322276,,清华/北大/中科大,,3.53,3.4,3.53,85.3,3.53/4.0,,,,,,,,,,,,,,103,28,28,23,24,326,156,170,3.0,,,,
25859,2322246,,985,人文地理与城乡规划,3.9,3.72,3.9,89.0,3.9,三年 奖学金 三段 实习 两次 大创 经历,,,,,,,,,,,,,,,,,,,,,,,,,
25860,2322240,,双非,城乡规划,3.39,3.28,3.39,83.9,3.39/5.0,,,,,,,,,7,8.5,7.5,6,6.5,,,,,,317,152,165,3.5,,,,
25861,2322285,,清华/北大/中科大,建筑学,4.0,3.81,4.0,90,90/100,留着 之后 更,建筑学,3.86,3.68,3.86,88.6,3.86/4,清华/北大/中科大,,,,,,,,,,,,,,,,,,
25862,2322292,,,,,,,,,中文 核心 一篇 国家级   优秀 结题 发明专利 一项 实用新型 专利 一项 数学 建模   国 二 节能 减排   国 三 校级 奖学金   奖项 若干,轨道交通信号与控制,3.45,3.33,3.45,84.47,84.47 3.27,211,,,,,,101,30,25,23,23,,,,,,,,
25863,2322288,,211 & 985,飞动,,,,,一般,,,,,,,,,7,8.5,7.5,5.5,6,,,,,,,,,,,,,
25864,2322268,,加本,经济学,3.9,3.72,3.9,89.0,3.9/4,全奖 奖学金 每年 ++ 第一年 奖学金 按照 本地 学费 全奖 奖学金 每年 ++ 本地 学生 学费 还有 其他   还 未 显示,经济学,3.9,3.72,3.9,89.0,3.9/4,加硕,,,,,,,,,,,,,,,,,,
25865,2322314,,211,市场营销,3.7,3.55,3.7,87.0,3.7/5,三个 推荐信 都 是 本科 学校 老师 的 无 奖学金 无 科研 无 大型 实习,,,,,,,,,,,,,97,29,26,21,21,314,154,160,3,,,,
25866,2322294,,211 & 985,建筑学,3.48,3.36,3.48,84.8,3.48/4.0,,,,,,,,,,,,,,111,29,27,28,27,325,157,168,4.0,,,,
25867,2322316,,双非,,3.7,3.55,3.7,87.0,3.7+,,,,,,,,,,,,,,,,,,,,,,,,,,
25868,2322298,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,汉语言文学,3.55,3.42,3.55,85.5,3.55/4.0,大一 德语系 大二 转 专业 到 中文系 的 在 德语系 不太好 … … 哎 也 没什么 办法 一段 英国 交换 经历 学术 上 没什么 特别 的 有 一个 校内 我以 研究 内容 和 思路 为主 了 三封 推荐信 都 是 本系 教授,,,,,,,,,,,,,105,30,25,23,27,328,161,167,3.5,,,,
25869,2322329,,双非,法学,,,,,,一份 红十字 实习 一份 知产 外所 实习 一份 公检法 实习 律所 合伙人 推荐信 + 教授 推荐信,,,,,,,,,,,,,105,29,29,23,24,,,,,,,,
25870,2322344,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,计算机科学,3.6,3.46,3.6,86,86,,,,,,,,,,,,,,107,30,27,24,26,334,165,169,3,,,,
25871,2322346,,211 & 985,农林经济管理,3.87,3.69,3.87,88.7,3.87,,,,,,,,,,,,,,,,,,,324,,,3.5,,,,
25872,2322333,,GDUT,制药工程,2.89,2.77,2.8,78,78/100 2.89/5,无 面试 有 执业 药师 证 三段 相关 工作 经验,,,,,,,,,,,,,,,,,,,,,,,,,
25873,2322327,,,传播学,3.77,3.61,3.77,87.7,3.77/4,央媒 工作 经历 国内   + 无 出国 交换 经历 无 国际 会议,传播学,3.87,3.69,3.87,88.7,3.87/4,中国人民大学,,,,,,111,29,27,29,26,329,163,166,4,,,,
25874,2322354,,211,管理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25875,2322357,,,城乡规划,3.76,3.6,3.76,87.6,3.76（WES）,,,,,,,,,,,,,,,,,,,,,,,,,,
25876,2322370,,双非,计算机科学与技术,3.5,3.37,3.5,85,85/100,两篇 论文 会议 一段 实习 三年 奖学金 竞赛 建模 编程 英语 竞赛,,,,,,,,6.5,7,7,6.5,6,,,,,,,,,,,,,
25877,2322352,,中国政法大学,法学,,,,,4.11/6.5,在 暑校 拿 的 一个 教授 的 推荐信 一封 红圈 所 合伙人 的 本校 导师 教授 的 推荐信 共 三份 一段 地区 基层 法院 一段 红圈 所 某 办公室 实习 帮 导师 打杂 若干 翻译 编辑 等 三年 法律援助 校 奖学金 司法 指数 调研 仲裁 调研 什么 的 有 一次 得 了 优秀 调研员 某 全国 范围 模拟 法庭 未获奖 哈哈哈,,,,,,,,,,,,,105,27,25,25,28,,,,,,,,
25878,2322367,,清华/北大/中科大,经济/金融,3.56,3.43,3.56,85.6,3.56,交换 经历 一段 某 券商 研究部 实习 一段 助研 若干,,,,,,,,,,,,,105,29,27,22,27,323,153,170,4,,,,
25879,2322376,,双非,法学,3.7,3.55,3.7,87.0,3.7/4,篇 论文 + 段 实习 +       +   推荐信 + 科研 + 公益 实践 若干,,,,,,,,,,,,,,,,,,,,,,,,,
25880,2322371,,211 & 985,金融,3.8,3.63,3.8,88.0,3.8/4,没什么 实习 学过 一些 的 经济学 课程 和 一些 统计 数学课程,,,,,,,,7,8,8,6,6,,,,,,324,170,154,3.5,,,,
25881,2322364,,211 & 985,测控技术与仪器,4.0,3.81,4.0,90,90/100,没有 文章 专利 做过 两个 校级 项目 有 几个 省级 竞赛 的 奖 其中 有个 竞赛 的 内容 和 导师 方向 比较 接近,,,,,,,,,,,,,110,30,27,25,28,327,157,170,3.5,,,,
25882,2322385,,985,数学,3.7,3.55,3.7,87.0,3.7/4   2/127,一篇 一作   暑研   实习,,,,,,,,,,,,,,,,,,,,,,,,,
25883,2322401,,CUHK,Translation,,,,,2:1,,,,,,,,,8,9,9,7,7,,,,,,,,,,690,50,33,
25884,2322421,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,GIS地信,3.5,3.37,3.5,85.0,3.5,两段 科研 一次 海外 交流,,,,,,,,,,,,,101,30,23,22,26,317,149,168,3,,,,
25885,2322424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25886,2322419,,美本top50,金数,3.6,3.46,3.6,86.0,3.6,可能 学校 比较 喜欢 背景 吧 ？ 还有 毕业 大牛 数学老师 的 推荐信 早考 早 好 芝加哥 大概 是 意料之中 ？ 因为 并 不 高,,,,,,,,,,,,,,,,,,,,,,,,,
25887,2322455,,清华/北大/中科大,法学,,,,,AA,法院 实习 红圈 实习 海外 交换 成绩 非常 一般 推荐信 来自 本院 教授 和律 所 合伙人,,,,,,,,,,,,,,,,,,,,,,,,,
25888,2322516,,双非,建筑,3.1,3.03,3.1,81.0,3.1/4.0,,,,,,,,,,,,,,97,28,24,24,21,,,,,,,,
25889,2322529,,双非,EE,3.54,3.41,3.54,85.4,85.4/100  GPA: 3.54/5,一封 教授 推荐信       一封 副教授 推荐信       研学 ＋ 教授 推荐信 感谢 组员 大佬 们     高中 荒废 年 日 成绩 才 太 低 了 啊啊啊 啊 啊       还好 大学 好刷分,,,,,,,,7,7,8.5,6.5,6,,,,,,,,,,,,,
25890,2322434,,双非,软件工程,3.6,3.46,3.6,86,86/100,无 论文 一段 实习,,,,,,,,7,,,6,6,,,,,,,,,,,,,
25891,2322496,,双非,软件工程,3.88,3.7,3.88,88.8,3.88/5,项目   一项 国创   一项 省创   奖项 次校 奖学金 + 次省 奖学金   服务 外 包 大赛 国家 二等奖     计算机 设计 大赛 国家 三等奖     浙江省 互联网 + 比赛 铜奖,,,,,,,,6.5,6.5,7.5,5.5,6,,,,,,,,,,,,,
25892,2322545,,武汉大学,Mathematics and Economics,3.2,3.12,3.2,82.0,3.2,两封 教授 的 一封 本科班 导 的 的 强度 一般般 班导 的 是 强推 本科 数学课 比较 多 但是 成绩 很 一般 就 上 了 只有 过 一段 兼职 经验 都 是 数据处理 工作 有 一个   但是 没有 提交 在 里 有 写,Economics,3.8,3.63,3.8,88.0,3.8,Boston University,,,,,,,,,,,,,,,,,,
25893,2322539,,211 & 985,数学与应用数学,3.97,3.78,3.97,89.67,89.67/100,,,,,,,,,,,,,,104,28,27,23,26,324,154,170,3,,,,
